"user","comment","upVotes"
"@gargoyles9999","“I do not fear you any longer”
“Good, now let me tell you about the Borg”","1 mil"
"@samslara","She's more reasonable and advanced than half of the people I know right now.","307"
"@tomasusan","""Of that I have absolutely no doubt.""  I love that despite all of the power that Picard commands, he genuinely admires others simply for their attitudes and potential.","781"
"@f7supercereal","This is Star Trek at its finest.","397"
"@williambarnes5023","""As seen from high above.""
""Yet we do not fall...""
""We do fall, but we are moving sideways so quickly that we miss, and so we continue falling, and continue missing.""","254"
"@UNLebanon","It's amazing how young students think that ancient people were ""stupid"" for not having the technology we have today.  Then I show them this scene, and the light bulbs start going off over their heads.","516"
"@strings1586","I absolutely love how the moment she understands what Picard is conveying, she begins to investigate the ship and her surroundings, and the possibility that her people could become like the population of the Enterprise.","321"
"@grapes008","""Any sufficiently advanced technology is indistinguishable from magic."" - Arthur C. Clark","41"
"@wannamontana4130","Honoring Roddenberry's positive belief in humanity's future:  ""Perhaps one day my people will .....    Of this I have no doubt!""","145"
"@doingtime20","When good writing, good direction and good acting join forces.","25"
"@DavidAWA","""You see.  My people used to shoot animals with bows and live in caves and then built huts.  Then we learned you could set arrows on fire and shoot them at the huts of others and shoot the people  as they fled their burning huts.  Then they leaned how to build bigger huts out of stone.  So we built a machine that could throw rocks to destroy those stone huts.  Now this is where things get really interesting...""","117"
"@stratfordbaby","This was an absolutely BEAUTIFUL and WONDERFUL episode for me as an anthropologist. Picard was so right on everything. It's crazy. I'm almost crying.","126"
"@tranzorz6293","i really wish star trek was like this again.","237"
"@literalsarcasm1830","I love how Picard is in awe of Nuria's curiosity and wonder. A true explorer.","137"
"@Mxyzptlksac","No one delivers dialogue like Patrick Stewart","135"
"@hd_inmemoriam","0:41 Nobody ever seems to mention this mother of all facepalms. He facepalms so hard he has to walk out of frame.","163"
"@AlastairjCarruthers","This is one of a handful of TNG moments that sends a tingle down my spine and brings a tear to my eye. Lovely stuff.","260"
"@fincrazydragon","It's always nice how things work out when people are willing to listen to reason, rather than let themselves be blinded by hate and anger and fear.","125"
"@graytonw5238","I was always drawn back to this scene because it had some of the best writing ever put on TV, but I never noticed one of the subtle details before.  Up to the point where Picard is trying to explain to Nuryea how a civilization advances over time, her eyes are wide open and her stance is stiff, like she's unsure about how to act around him.  But when she finally understands his point, at 2:44 you can see her eyes lower and her posture relax.  Great attention to detail, and great acting by the woman who portrayed Nuryea.","147"
"@MsDemonBunny","I love how Picard presents the information. He teaches in the best way. Instead of explaining they simply have more advanced technology and hope she can grasp what that means, he asks questions about her people and what she already knows, essentially guiding her to her own realization and understanding. He gets her to think instead of just being in awe or overwhelmed.","10"
"@pbdye1607","""Wow, there's a lot of water on my planet.  We really should build ships.""  (becomes the proto-Vulcan version of England)","110"
"@CaravanseraiSouthValley","This is legit inspiring.","95"
"@Corehaven22",""" I never thought I'd see the clouds from the other side "".  Truly poetic.","5"
"@geoffroberts1126","""Any sufficiently advanced technology is indistinguishable from magic.""  'Clarke's Third Law'","3"
"@danielweston9188","It started with her being amazed and ended with him being amazed!","6"
"@astercaster9522","I love the look of admiration he gives her at the end. The kind when a child says something unknowingly wise and profound.","17"
"@DocuFlow","Without aspirational sci-fi I think the next generations are lost. Sci-fi has driven much of the science discoveries we have today, from Verne to Clarke to Roddenberry. Look up how Faraday was inspired by Verne, and wonder where we’d be without his contributions to science.","7"
"@YD-uq5fi","Some things in 2023 would be hard to explain even to people from 1989, when this episode aired.","23"
"@tonyjackson4078","The basic simple concept of Star Trek is at some point we as humans stopped being scared of each other, and wanted a greater destiny.","30"
"@SeattleSandro","Who Watches the Watchers is one of the BEST episodes of any Star Trek for its writing and acting.","7"
"@pitodesign","She's not like: ""Oh, my world is a sphere?""","51"
"@coreymoore1443","If you tried this with a proto-Klingon race:
Picard: Now how would she react?
Proto-Klingon: I think she would fear me.
Picard: Just as you fear me.
Proto-Klingon: Oh, so I should kill you?
Picard: <facepalm>","47"
"@slyguythreeonetwonine3172","""Yet we do not fall.""

Orbiral Mechanics: False, you are falling so fast that you are falling around the object rather than into it.","13"
"@ChristopherNealBUSHIDO49ERS","What a fantastic scene!  Beautifully written and masterfully acted.","15"
"@jeremy1860","Whenever I think of that real Trek feels like, this is the episode and moment I remember ","16"
"@terryrose4804","Great! I'm now stuck on Star Trek clips and ""Sharpe's Waterloo"", etc. (Sean Bean) movies and clips. :)","21"
"@ninsnumber1fan","one of my favorite episodes. After ""the inner light"" of course.","2"
"@cranberriesdoodle1450","The writing on this show is legendary!","5"
"@ultramaximusreviews","Great line. ""Of that I have absolutely no doubt.""","6"
"@whatthafuckisthis","this scene together with the end of inner light and picard playing the flute with daren on the jefferies tube allways brings a tear to my eyes","4"
"@kjadfhgioaudbfvilaeu","Such a beautiful moment...
I absolutely adore the episodes (of any ST series) where they interact with civilizations that aren't as advanced.","5"
"@shadowsa2b","""Any sufficiently advanced technology is indistinguishable from magic""
-- Arthur C Clarke","2"
"@sirlancerstien","Continue to upload these clips, I love this whole episode.","15"
"@windwalker5765","""My people once lived in caves.""
music cuts in
""It's been a long road, gettin' from there to here...""","2"
"@craig5322","What an amazingly humble and good hearted person","1"
"@baconcoghill","You can tell at the end of the video that Picard was imagining both of their peoples working together, manning starships together and exploring worlds he couldn't even dream of.","3"
"@importantname","intelligence is the ability to imagine what might exist but does not yet; the opposite is to deny that it is possible, because it does not exist","6"
"@tommyrick4687","Great clip great scene. Captures some of the best ideals of star trek","4"
"@pbdye1607","""I do not fear you any longer.""
""Good, because if you knew how much destructive potential we have on this ship I'd have never snapped you out of your reverent zealotry.""","10"
"@ihavetwofaces","Props for uploading such a high definition version of this amazing scene.","5"
"@petestevenson1004","One of the best moments in the entire series.  Among my top favourites..","1"
"@techpriest4787","When the Picard face palms, then you angered the Picard!","28"
